frame,time_s,oid,class,point_type,x,y,x_norm,y_norm,bbox_w,bbox_h,bbox_w_norm,bbox_h_norm,speed_px_per_s
0,0.0,0,player,foot,1154.5,570.0,0.3006510416666667,0.2638888888888889,106.0,269.0,0.027604166666666666,0.12453703703703704,
0,0.0,1,player,foot,1344.0,391.0,0.35,0.18101851851851852,54.0,152.0,0.0140625,0.07037037037037037,
0,0.0,2,player,foot,2420.0,455.0,0.6302083333333334,0.21064814814814814,48.0,149.0,0.0125,0.06898148148148148,
0,0.0,3,ball,center,1240.0,464.0,0.3229166666666667,0.21481481481481482,30.0,28.0,0.0078125,0.012962962962962963,
1,0.041666666666666664,0,player,foot,1154.5,570.0,0.3006510416666667,0.2638888888888889,106.0,269.0,0.027604166666666666,0.12453703703703704,
1,0.041666666666666664,1,player,foot,1344.0,391.0,0.35,0.18101851851851852,54.0,152.0,0.0140625,0.07037037037037037,
1,0.041666666666666664,2,player,foot,2420.0,455.0,0.6302083333333334,0.21064814814814814,48.0,149.0,0.0125,0.06898148148148148,
1,0.041666666666666664,3,ball,center,1235.5,470.5,0.32174479166666664,0.2178240740740741,29.0,31.0,0.007552083333333333,0.014351851851851852,189.73665961010275
2,0.08333333333333333,0,player,foot,1152.550048828125,570.0,0.3001432418823242,0.2638888888888889,109.0,266.0,0.028385416666666666,0.12314814814814815,
2,0.08333333333333333,1,player,foot,1349.0999755859375,391.29998779296875,0.3513281186421712,0.18115740175600406,52.0,153.0,0.013541666666666667,0.07083333333333333,
2,0.08333333333333333,2,player,foot,2419.699951171875,454.4000244140625,0.6301301956176758,0.2103703816731771,46.0,147.0,0.011979166666666667,0.06805555555555555,
2,0.08333333333333333,3,ball,center,1232.0,478.0,0.32083333333333336,0.2212962962962963,30.0,28.0,0.0078125,0.012962962962962963,198.63534428696218
3,0.125,0,player,foot,1140.0850830078125,569.7000122070312,0.2968971570332845,0.26375000565140333,110.0,262.0,0.028645833333333332,0.12129629629629629,
